time,dBm
2025-11-13T19:58:13.297876Z,-64.10
2025-11-13T19:58:13.298876Z,-69.18
2025-11-13T19:58:13.299876Z,-68.75
2025-11-13T19:58:13.300876Z,-66.23
2025-11-13T19:58:13.301876Z,-73.27
2025-11-13T19:58:13.302876Z,-67.19
2025-11-13T19:58:13.303876Z,-66.00
2025-11-13T19:58:13.304876Z,-69.72
2025-11-13T19:58:13.305876Z,-58.38
2025-11-13T19:58:13.306876Z,-69.89
2025-11-13T19:58:13.307876Z,-69.62
2025-11-13T19:58:13.308876Z,-77.21
2025-11-13T19:58:13.309876Z,-73.73
2025-11-13T19:58:13.310876Z,-64.58
2025-11-13T19:58:13.311876Z,-69.93
2025-11-13T19:58:13.312876Z,-68.94
2025-11-13T19:58:13.313876Z,-57.82
2025-11-13T19:58:13.314876Z,-63.78
2025-11-13T19:58:13.315876Z,-65.75
2025-11-13T19:58:13.316876Z,-62.22
2025-11-13T19:58:13.317876Z,-61.62
2025-11-13T19:58:13.318876Z,-74.97
2025-11-13T19:58:13.319876Z,-60.17
2025-11-13T19:58:13.320876Z,-66.11
2025-11-13T19:58:13.321876Z,-57.54
2025-11-13T19:58:13.322876Z,-66.33
2025-11-13T19:58:13.323876Z,-73.09
2025-11-13T19:58:13.324876Z,-69.23
2025-11-13T19:58:13.325876Z,-68.90
2025-11-13T19:58:13.326876Z,-69.58
2025-11-13T19:58:13.327876Z,-63.34
2025-11-13T19:58:13.328876Z,-59.02
2025-11-13T19:58:13.329876Z,-67.16
2025-11-13T19:58:13.330876Z,-68.92
2025-11-13T19:58:13.331876Z,-64.01
2025-11-13T19:58:13.332876Z,-60.87
2025-11-13T19:58:13.333876Z,-69.42
2025-11-13T19:58:13.334876Z,-73.25
2025-11-13T19:58:13.335876Z,-67.07
2025-11-13T19:58:13.336876Z,-50.27
2025-11-13T19:58:13.337876Z,-67.99
2025-11-13T19:58:13.338876Z,-62.56
2025-11-13T19:58:13.339876Z,-59.79
2025-11-13T19:58:13.340876Z,-73.48
2025-11-13T19:58:13.341876Z,-63.19
2025-11-13T19:58:13.342876Z,-64.35
2025-11-13T19:58:13.343876Z,-66.63
2025-11-13T19:58:13.344876Z,-66.79
2025-11-13T19:58:13.345876Z,-71.86
2025-11-13T19:58:13.346876Z,-66.01
2025-11-13T19:58:13.347876Z,-68.06
2025-11-13T19:58:13.348876Z,-74.04
2025-11-13T19:58:13.349876Z,-64.24
2025-11-13T19:58:13.350876Z,-65.90
2025-11-13T19:58:13.351876Z,-65.21
2025-11-13T19:58:13.352876Z,-66.26
2025-11-13T19:58:13.353876Z,-69.14
2025-11-13T19:58:13.354876Z,-70.34
2025-11-13T19:58:13.355876Z,-63.31
2025-11-13T19:58:13.356876Z,-73.29
2025-11-13T19:58:13.357876Z,-77.56
2025-11-13T19:58:13.358876Z,-59.35
2025-11-13T19:58:13.359876Z,-52.59
2025-11-13T19:58:13.360876Z,-60.10
2025-11-13T19:58:13.361876Z,-69.45
2025-11-13T19:58:13.362876Z,-63.78
2025-11-13T19:58:13.363876Z,-63.68
2025-11-13T19:58:13.364876Z,-68.51
2025-11-13T19:58:13.365876Z,-70.27
2025-11-13T19:58:13.366876Z,-67.23
2025-11-13T19:58:13.367876Z,-69.04
2025-11-13T19:58:13.368876Z,-69.06
2025-11-13T19:58:13.369876Z,-63.93
2025-11-13T19:58:13.370876Z,-71.58
2025-11-13T19:58:13.371876Z,-63.89
2025-11-13T19:58:13.372876Z,-58.46
2025-11-13T19:58:13.373876Z,-59.74
2025-11-13T19:58:13.374876Z,-65.06
2025-11-13T19:58:13.375876Z,-70.78
2025-11-13T19:58:13.376876Z,-65.57
2025-11-13T19:58:13.377876Z,-68.16
2025-11-13T19:58:13.378876Z,-69.53
2025-11-13T19:58:13.379876Z,-57.12
2025-11-13T19:58:13.380876Z,-70.08
2025-11-13T19:58:13.381876Z,-70.98
2025-11-13T19:58:13.382876Z,-74.73
2025-11-13T19:58:13.383876Z,-70.69
2025-11-13T19:58:13.384876Z,-72.00
2025-11-13T19:58:13.385876Z,-72.59
2025-11-13T19:58:13.386876Z,-67.52
2025-11-13T19:58:13.387876Z,-68.12
2025-11-13T19:58:13.388876Z,-65.79
2025-11-13T19:58:13.389876Z,-63.06
2025-11-13T19:58:13.390876Z,-64.15
2025-11-13T19:58:13.391876Z,-63.19
2025-11-13T19:58:13.392876Z,-67.37
