time,dBm
2025-11-13T19:58:14.486215Z,-92.49
2025-11-13T19:58:14.487215Z,-92.05
2025-11-13T19:58:14.488215Z,-91.18
2025-11-13T19:58:14.489215Z,-86.77
2025-11-13T19:58:14.490215Z,-92.23
2025-11-13T19:58:14.491215Z,-95.07
2025-11-13T19:58:14.492215Z,-92.10
2025-11-13T19:58:14.493215Z,-93.22
2025-11-13T19:58:14.494215Z,-93.02
2025-11-13T19:58:14.495215Z,-91.93
2025-11-13T19:58:14.496215Z,-93.80
2025-11-13T19:58:14.497215Z,-93.42
2025-11-13T19:58:14.498215Z,-93.24
2025-11-13T19:58:14.499215Z,-91.97
2025-11-13T19:58:14.500215Z,-93.61
2025-11-13T19:58:14.501215Z,-94.77
2025-11-13T19:58:14.502215Z,-91.47
2025-11-13T19:58:14.503215Z,-92.71
2025-11-13T19:58:14.504215Z,-94.07
2025-11-13T19:58:14.505215Z,-93.09
2025-11-13T19:58:14.506215Z,-94.76
2025-11-13T19:58:14.507215Z,-91.12
2025-11-13T19:58:14.508215Z,-93.71
2025-11-13T19:58:14.509215Z,-94.64
2025-11-13T19:58:14.510215Z,-91.94
2025-11-13T19:58:14.511215Z,-91.97
2025-11-13T19:58:14.512215Z,-92.04
2025-11-13T19:58:14.513215Z,-96.08
2025-11-13T19:58:14.514215Z,-93.09
2025-11-13T19:58:14.515215Z,-91.88
2025-11-13T19:58:14.516215Z,-91.94
2025-11-13T19:58:14.517215Z,-91.06
2025-11-13T19:58:14.518215Z,-93.83
2025-11-13T19:58:14.519215Z,-92.94
2025-11-13T19:58:14.520215Z,-93.77
2025-11-13T19:58:14.521215Z,-93.84
2025-11-13T19:58:14.522215Z,-95.44
2025-11-13T19:58:14.523215Z,-93.05
2025-11-13T19:58:14.524215Z,-92.46
2025-11-13T19:58:14.525215Z,-92.30
2025-11-13T19:58:14.526215Z,-92.58
2025-11-13T19:58:14.527215Z,-93.95
2025-11-13T19:58:14.528215Z,-94.33
2025-11-13T19:58:14.529215Z,-94.43
2025-11-13T19:58:14.530215Z,-93.85
2025-11-13T19:58:14.531215Z,-94.57
2025-11-13T19:58:14.532215Z,-94.28
2025-11-13T19:58:14.533215Z,-90.73
2025-11-13T19:58:14.534215Z,-93.49
2025-11-13T19:58:14.535215Z,-95.88
2025-11-13T19:58:14.536215Z,-94.85
2025-11-13T19:58:14.537215Z,-93.08
2025-11-13T19:58:14.538215Z,-91.76
2025-11-13T19:58:14.539215Z,-93.47
2025-11-13T19:58:14.540215Z,-94.09
2025-11-13T19:58:14.541215Z,-92.92
2025-11-13T19:58:14.542215Z,-93.65
2025-11-13T19:58:14.543215Z,-94.82
2025-11-13T19:58:14.544215Z,-95.74
2025-11-13T19:58:14.545215Z,-92.47
2025-11-13T19:58:14.546215Z,-93.39
2025-11-13T19:58:14.547215Z,-94.14
2025-11-13T19:58:14.548215Z,-93.05
2025-11-13T19:58:14.549215Z,-92.97
2025-11-13T19:58:14.550215Z,-94.08
2025-11-13T19:58:14.551215Z,-92.60
2025-11-13T19:58:14.552215Z,-93.92
2025-11-13T19:58:14.553215Z,-94.57
2025-11-13T19:58:14.554215Z,-92.65
2025-11-13T19:58:14.555215Z,-95.17
2025-11-13T19:58:14.556215Z,-96.22
2025-11-13T19:58:14.557215Z,-93.55
2025-11-13T19:58:14.558215Z,-92.92
2025-11-13T19:58:14.559215Z,-94.68
2025-11-13T19:58:14.560215Z,-96.09
2025-11-13T19:58:14.561215Z,-95.18
2025-11-13T19:58:14.562215Z,-93.03
2025-11-13T19:58:14.563215Z,-95.31
2025-11-13T19:58:14.564215Z,-92.62
2025-11-13T19:58:14.565215Z,-92.04
2025-11-13T19:58:14.566215Z,-94.57
2025-11-13T19:58:14.567215Z,-93.63
2025-11-13T19:58:14.568215Z,-92.16
2025-11-13T19:58:14.569215Z,-91.53
2025-11-13T19:58:14.570215Z,-93.65
2025-11-13T19:58:14.571215Z,-92.26
2025-11-13T19:58:14.572215Z,-91.89
2025-11-13T19:58:14.573215Z,-92.10
2025-11-13T19:58:14.574215Z,-94.65
2025-11-13T19:58:14.575215Z,-95.01
2025-11-13T19:58:14.576215Z,-91.56
2025-11-13T19:58:14.577215Z,-93.78
2025-11-13T19:58:14.578215Z,-93.30
2025-11-13T19:58:14.579215Z,-92.84
2025-11-13T19:58:14.580215Z,-90.23
2025-11-13T19:58:14.581215Z,-97.30
2025-11-13T19:58:14.582215Z,-95.27
2025-11-13T19:58:14.583215Z,-92.76
2025-11-13T19:58:14.584215Z,-92.41
2025-11-13T19:58:14.585215Z,-92.24
2025-11-13T19:58:14.586215Z,-90.48
2025-11-13T19:58:14.587215Z,-93.89
2025-11-13T19:58:14.588215Z,-91.53
2025-11-13T19:58:14.589215Z,-94.65
2025-11-13T19:58:14.590215Z,-92.08
2025-11-13T19:58:14.591215Z,-91.73
2025-11-13T19:58:14.592215Z,-94.41
2025-11-13T19:58:14.593215Z,-94.03
2025-11-13T19:58:14.594215Z,-92.19
2025-11-13T19:58:14.595215Z,-94.72
2025-11-13T19:58:14.596215Z,-93.49
2025-11-13T19:58:14.597215Z,-93.12
2025-11-13T19:58:14.598215Z,-92.36
2025-11-13T19:58:14.599215Z,-92.17
2025-11-13T19:58:14.600215Z,-92.03
2025-11-13T19:58:14.601215Z,-94.57
2025-11-13T19:58:14.602215Z,-93.45
2025-11-13T19:58:14.603215Z,-94.55
2025-11-13T19:58:14.604215Z,-93.78
2025-11-13T19:58:14.605215Z,-92.94
2025-11-13T19:58:14.606215Z,-94.23
2025-11-13T19:58:14.607215Z,-95.11
2025-11-13T19:58:14.608215Z,-92.83
2025-11-13T19:58:14.609215Z,-94.57
2025-11-13T19:58:14.610215Z,-95.18
2025-11-13T19:58:14.611215Z,-92.09
2025-11-13T19:58:14.612215Z,-93.95
2025-11-13T19:58:14.613215Z,-93.92
2025-11-13T19:58:14.614215Z,-94.81
2025-11-13T19:58:14.615215Z,-92.96
2025-11-13T19:58:14.616215Z,-90.18
