time,dB
2025-11-14T09:15:50.743904Z,-60.31
2025-11-14T09:15:50.743914Z,-58.69
2025-11-14T09:15:50.743924Z,-60.20
2025-11-14T09:15:50.743934Z,-58.44
2025-11-14T09:15:50.743944Z,-59.79
2025-11-14T09:15:50.743954Z,-59.46
2025-11-14T09:15:50.743964Z,-59.82
2025-11-14T09:15:50.743974Z,-57.98
2025-11-14T09:15:50.743984Z,-57.35
2025-11-14T09:15:50.743994Z,-58.51
2025-11-14T09:15:50.744004Z,-60.42
2025-11-14T09:15:50.744014Z,-58.18
2025-11-14T09:15:50.744024Z,-58.91
2025-11-14T09:15:50.744034Z,-56.80
2025-11-14T09:15:50.744044Z,-58.50
2025-11-14T09:15:50.744054Z,-57.29
2025-11-14T09:15:50.744064Z,-58.87
2025-11-14T09:15:50.744074Z,-56.00
2025-11-14T09:15:50.744084Z,-55.96
2025-11-14T09:15:50.744094Z,-57.56
2025-11-14T09:15:50.744104Z,-57.31
2025-11-14T09:15:50.744114Z,-56.25
2025-11-14T09:15:50.744124Z,-55.88
2025-11-14T09:15:50.744134Z,-55.88
2025-11-14T09:15:50.744144Z,-56.67
2025-11-14T09:15:50.744154Z,-55.39
2025-11-14T09:15:50.744164Z,-54.16
2025-11-14T09:15:50.744174Z,-56.45
2025-11-14T09:15:50.744184Z,-56.20
2025-11-14T09:15:50.744194Z,-54.49
2025-11-14T09:15:50.744204Z,-56.17
2025-11-14T09:15:50.744214Z,-54.27
2025-11-14T09:15:50.744224Z,-54.48
2025-11-14T09:15:50.744234Z,-53.65
2025-11-14T09:15:50.744244Z,-54.05
2025-11-14T09:15:50.744254Z,-55.27
2025-11-14T09:15:50.744264Z,-57.07
2025-11-14T09:15:50.744274Z,-54.13
2025-11-14T09:15:50.744284Z,-52.54
2025-11-14T09:15:50.744294Z,-52.58
2025-11-14T09:15:50.744304Z,-54.88
2025-11-14T09:15:50.744314Z,-54.42
2025-11-14T09:15:50.744324Z,-54.60
2025-11-14T09:15:50.744334Z,-52.95
2025-11-14T09:15:50.744344Z,-51.77
2025-11-14T09:15:50.744354Z,-53.97
2025-11-14T09:15:50.744364Z,-53.49
2025-11-14T09:15:50.744374Z,-52.82
2025-11-14T09:15:50.744384Z,-56.77
2025-11-14T09:15:50.744394Z,-52.95
2025-11-14T09:15:50.744404Z,-53.53
2025-11-14T09:15:50.744414Z,-54.38
2025-11-14T09:15:50.744424Z,-54.53
2025-11-14T09:15:50.744434Z,-54.14
2025-11-14T09:15:50.744444Z,-54.25
2025-11-14T09:15:50.744454Z,-54.75
2025-11-14T09:15:50.744464Z,-54.78
2025-11-14T09:15:50.744474Z,-56.15
2025-11-14T09:15:50.744484Z,-54.45
2025-11-14T09:15:50.744494Z,-53.69
2025-11-14T09:15:50.744504Z,-53.04
2025-11-14T09:15:50.744514Z,-54.74
2025-11-14T09:15:50.744524Z,-53.67
2025-11-14T09:15:50.744534Z,-54.64
2025-11-14T09:15:50.744544Z,-55.19
2025-11-14T09:15:50.744554Z,-54.38
2025-11-14T09:15:50.744564Z,-54.02
2025-11-14T09:15:50.744574Z,-53.76
2025-11-14T09:15:50.744584Z,-54.30
2025-11-14T09:15:50.744594Z,-56.01
2025-11-14T09:15:50.744604Z,-54.89
2025-11-14T09:15:50.744614Z,-53.96
2025-11-14T09:15:50.744624Z,-56.21
2025-11-14T09:15:50.744634Z,-55.04
2025-11-14T09:15:50.744644Z,-56.49
2025-11-14T09:15:50.744654Z,-56.14
2025-11-14T09:15:50.744664Z,-55.93
2025-11-14T09:15:50.744674Z,-56.30
2025-11-14T09:15:50.744684Z,-55.52
2025-11-14T09:15:50.744694Z,-54.71
2025-11-14T09:15:50.744704Z,-56.78
2025-11-14T09:15:50.744714Z,-55.68
2025-11-14T09:15:50.744724Z,-57.62
2025-11-14T09:15:50.744734Z,-57.55
2025-11-14T09:15:50.744744Z,-56.62
2025-11-14T09:15:50.744754Z,-57.13
2025-11-14T09:15:50.744764Z,-57.25
2025-11-14T09:15:50.744774Z,-57.70
2025-11-14T09:15:50.744784Z,-57.92
2025-11-14T09:15:50.744794Z,-57.57
2025-11-14T09:15:50.744804Z,-59.37
2025-11-14T09:15:50.744814Z,-57.85
2025-11-14T09:15:50.744824Z,-59.17
2025-11-14T09:15:50.744834Z,-57.82
2025-11-14T09:15:50.744844Z,-58.37
2025-11-14T09:15:50.744854Z,-58.17
2025-11-14T09:15:50.744864Z,-58.83
2025-11-14T09:15:50.744874Z,-58.34
2025-11-14T09:15:50.744884Z,-58.42
2025-11-14T09:15:50.744894Z,-59.57
2025-11-14T09:15:50.744904Z,-60.82
2025-11-14T09:15:50.744914Z,-59.10
2025-11-14T09:15:50.744924Z,-60.38
2025-11-14T09:15:50.744934Z,-61.45
2025-11-14T09:15:50.744944Z,-60.15
2025-11-14T09:15:50.744954Z,-61.82
2025-11-14T09:15:50.744964Z,-60.34
2025-11-14T09:15:50.744974Z,-60.93
2025-11-14T09:15:50.744984Z,-60.98
2025-11-14T09:15:50.744994Z,-61.41
2025-11-14T09:15:50.745004Z,-62.26
2025-11-14T09:15:50.745014Z,-61.42
2025-11-14T09:15:50.745024Z,-60.30
2025-11-14T09:15:50.745034Z,-61.04
2025-11-14T09:15:50.745044Z,-62.62
2025-11-14T09:15:50.745054Z,-62.93
2025-11-14T09:15:50.745064Z,-62.73
2025-11-14T09:15:50.745074Z,-62.34
2025-11-14T09:15:50.745084Z,-62.10
2025-11-14T09:15:50.745094Z,-63.12
2025-11-14T09:15:50.745104Z,-61.45
2025-11-14T09:15:50.745114Z,-61.91
2025-11-14T09:15:50.745124Z,-62.97
2025-11-14T09:15:50.745134Z,-62.83
2025-11-14T09:15:50.745144Z,-62.51
2025-11-14T09:15:50.745154Z,-63.41
2025-11-14T09:15:50.745164Z,-63.94
2025-11-14T09:15:50.745174Z,-63.24
2025-11-14T09:15:50.745184Z,-63.54
2025-11-14T09:15:50.745194Z,-63.06
2025-11-14T09:15:50.745204Z,-64.59
2025-11-14T09:15:50.745214Z,-63.51
2025-11-14T09:15:50.745224Z,-65.17
2025-11-14T09:15:50.745234Z,-65.63
2025-11-14T09:15:50.745244Z,-64.39
2025-11-14T09:15:50.745254Z,-63.32
2025-11-14T09:15:50.745264Z,-63.81
2025-11-14T09:15:50.745274Z,-64.36
2025-11-14T09:15:50.745284Z,-64.63
2025-11-14T09:15:50.745294Z,-65.29
2025-11-14T09:15:50.745304Z,-64.52
2025-11-14T09:15:50.745314Z,-65.37
2025-11-14T09:15:50.745324Z,-62.66
2025-11-14T09:15:50.745334Z,-63.46
2025-11-14T09:15:50.745344Z,-64.19
2025-11-14T09:15:50.745354Z,-64.87
2025-11-14T09:15:50.745364Z,-63.80
2025-11-14T09:15:50.745374Z,-65.97
2025-11-14T09:15:50.745384Z,-63.87
2025-11-14T09:15:50.745394Z,-64.61
2025-11-14T09:15:50.745404Z,-64.57
2025-11-14T09:15:50.745414Z,-63.94
2025-11-14T09:15:50.745424Z,-66.29
2025-11-14T09:15:50.745434Z,-65.14
2025-11-14T09:15:50.745444Z,-64.23
2025-11-14T09:15:50.745454Z,-64.70
2025-11-14T09:15:50.745464Z,-64.73
2025-11-14T09:15:50.745474Z,-63.68
2025-11-14T09:15:50.745484Z,-65.18
2025-11-14T09:15:50.745494Z,-63.45
2025-11-14T09:15:50.745504Z,-65.61
2025-11-14T09:15:50.745514Z,-64.10
2025-11-14T09:15:50.745524Z,-64.61
2025-11-14T09:15:50.745534Z,-63.08
2025-11-14T09:15:50.745544Z,-64.34
2025-11-14T09:15:50.745554Z,-64.17
2025-11-14T09:15:50.745564Z,-64.66
2025-11-14T09:15:50.745574Z,-64.06
2025-11-14T09:15:50.745584Z,-62.54
2025-11-14T09:15:50.745594Z,-64.73
2025-11-14T09:15:50.745604Z,-63.70
2025-11-14T09:15:50.745614Z,-64.08
2025-11-14T09:15:50.745624Z,-64.93
2025-11-14T09:15:50.745634Z,-63.28
2025-11-14T09:15:50.745644Z,-63.63
2025-11-14T09:15:50.745654Z,-64.09
2025-11-14T09:15:50.745664Z,-64.36
2025-11-14T09:15:50.745674Z,-62.12
2025-11-14T09:15:50.745684Z,-62.96
2025-11-14T09:15:50.745694Z,-60.95
2025-11-14T09:15:50.745704Z,-62.42
2025-11-14T09:15:50.745714Z,-62.56
2025-11-14T09:15:50.745724Z,-63.02
2025-11-14T09:15:50.745734Z,-62.84
2025-11-14T09:15:50.745744Z,-61.82
2025-11-14T09:15:50.745754Z,-62.12
2025-11-14T09:15:50.745764Z,-61.50
2025-11-14T09:15:50.745774Z,-61.82
2025-11-14T09:15:50.745784Z,-61.67
2025-11-14T09:15:50.745794Z,-60.98
2025-11-14T09:15:50.745804Z,-62.11
2025-11-14T09:15:50.745814Z,-59.90
2025-11-14T09:15:50.745824Z,-60.67
2025-11-14T09:15:50.745834Z,-60.11
2025-11-14T09:15:50.745844Z,-59.73
2025-11-14T09:15:50.745854Z,-59.79
2025-11-14T09:15:50.745864Z,-59.12
2025-11-14T09:15:50.745874Z,-62.17
2025-11-14T09:15:50.745884Z,-57.61
2025-11-14T09:15:50.745894Z,-60.55
2025-11-14T09:15:50.745904Z,-58.91
2025-11-14T09:15:50.745914Z,-58.87
2025-11-14T09:15:50.745924Z,-58.30
2025-11-14T09:15:50.745934Z,-59.13
2025-11-14T09:15:50.745944Z,-59.91
2025-11-14T09:15:50.745954Z,-58.82
2025-11-14T09:15:50.745964Z,-58.48
2025-11-14T09:15:50.745974Z,-59.17
2025-11-14T09:15:50.745984Z,-58.29
2025-11-14T09:15:50.745994Z,-58.15
2025-11-14T09:15:50.746004Z,-56.74
2025-11-14T09:15:50.746014Z,-56.86
2025-11-14T09:15:50.746024Z,-58.67
2025-11-14T09:15:50.746034Z,-57.83
2025-11-14T09:15:50.746044Z,-55.59
2025-11-14T09:15:50.746054Z,-58.06
2025-11-14T09:15:50.746064Z,-57.54
2025-11-14T09:15:50.746074Z,-55.99
2025-11-14T09:15:50.746084Z,-56.63
2025-11-14T09:15:50.746094Z,-56.09
2025-11-14T09:15:50.746104Z,-54.49
2025-11-14T09:15:50.746114Z,-57.20
2025-11-14T09:15:50.746124Z,-55.90
2025-11-14T09:15:50.746134Z,-54.81
2025-11-14T09:15:50.746144Z,-56.90
2025-11-14T09:15:50.746154Z,-55.08
2025-11-14T09:15:50.746164Z,-56.20
2025-11-14T09:15:50.746174Z,-55.84
2025-11-14T09:15:50.746184Z,-54.13
2025-11-14T09:15:50.746194Z,-54.01
2025-11-14T09:15:50.746204Z,-54.68
2025-11-14T09:15:50.746214Z,-54.29
2025-11-14T09:15:50.746224Z,-55.19
2025-11-14T09:15:50.746234Z,-56.33
2025-11-14T09:15:50.746244Z,-54.36
2025-11-14T09:15:50.746254Z,-54.99
2025-11-14T09:15:50.746264Z,-55.82
2025-11-14T09:15:50.746274Z,-53.05
2025-11-14T09:15:50.746284Z,-55.09
2025-11-14T09:15:50.746294Z,-54.50
2025-11-14T09:15:50.746304Z,-54.12
2025-11-14T09:15:50.746314Z,-55.44
2025-11-14T09:15:50.746324Z,-54.76
2025-11-14T09:15:50.746334Z,-53.62
2025-11-14T09:15:50.746344Z,-53.99
2025-11-14T09:15:50.746354Z,-54.47
2025-11-14T09:15:50.746364Z,-55.77
2025-11-14T09:15:50.746374Z,-54.79
2025-11-14T09:15:50.746384Z,-54.40
2025-11-14T09:15:50.746394Z,-55.22
2025-11-14T09:15:50.746404Z,-53.22
2025-11-14T09:15:50.746414Z,-53.00
2025-11-14T09:15:50.746424Z,-53.79
2025-11-14T09:15:50.746434Z,-55.06
2025-11-14T09:15:50.746444Z,-53.98
2025-11-14T09:15:50.746454Z,-52.08
2025-11-14T09:15:50.746464Z,-54.57
2025-11-14T09:15:50.746474Z,-54.14
2025-11-14T09:15:50.746484Z,-54.44
2025-11-14T09:15:50.746494Z,-53.96
2025-11-14T09:15:50.746504Z,-52.75
2025-11-14T09:15:50.746514Z,-54.67
2025-11-14T09:15:50.746524Z,-53.33
2025-11-14T09:15:50.746534Z,-53.23
2025-11-14T09:15:50.746544Z,-54.55
2025-11-14T09:15:50.746554Z,-55.12
2025-11-14T09:15:50.746564Z,-53.31
2025-11-14T09:15:50.746574Z,-53.92
2025-11-14T09:15:50.746584Z,-54.15
2025-11-14T09:15:50.746594Z,-56.28
2025-11-14T09:15:50.746604Z,-54.51
2025-11-14T09:15:50.746614Z,-53.41
2025-11-14T09:15:50.746624Z,-54.20
2025-11-14T09:15:50.746634Z,-54.64
2025-11-14T09:15:50.746644Z,-54.42
2025-11-14T09:15:50.746654Z,-55.40
2025-11-14T09:15:50.746664Z,-56.19
2025-11-14T09:15:50.746674Z,-55.27
2025-11-14T09:15:50.746684Z,-55.32
2025-11-14T09:15:50.746694Z,-56.30
2025-11-14T09:15:50.746704Z,-55.78
2025-11-14T09:15:50.746714Z,-57.05
2025-11-14T09:15:50.746724Z,-57.31
2025-11-14T09:15:50.746734Z,-55.83
2025-11-14T09:15:50.746744Z,-56.14
2025-11-14T09:15:50.746754Z,-57.74
2025-11-14T09:15:50.746764Z,-56.97
2025-11-14T09:15:50.746774Z,-57.25
2025-11-14T09:15:50.746784Z,-57.94
2025-11-14T09:15:50.746794Z,-55.46
2025-11-14T09:15:50.746804Z,-58.14
2025-11-14T09:15:50.746814Z,-58.05
2025-11-14T09:15:50.746824Z,-57.39
2025-11-14T09:15:50.746834Z,-58.26
2025-11-14T09:15:50.746844Z,-59.44
2025-11-14T09:15:50.746854Z,-58.03
2025-11-14T09:15:50.746864Z,-58.65
2025-11-14T09:15:50.746874Z,-58.14
2025-11-14T09:15:50.746884Z,-60.93
2025-11-14T09:15:50.746894Z,-59.66
2025-11-14T09:15:50.746904Z,-60.45
2025-11-14T09:15:50.746914Z,-59.42
2025-11-14T09:15:50.746924Z,-59.66
2025-11-14T09:15:50.746934Z,-60.21
2025-11-14T09:15:50.746944Z,-59.49
2025-11-14T09:15:50.746954Z,-59.69
2025-11-14T09:15:50.746964Z,-59.50
2025-11-14T09:15:50.746974Z,-59.94
2025-11-14T09:15:50.746984Z,-61.30
2025-11-14T09:15:50.746994Z,-61.00
2025-11-14T09:15:50.747004Z,-61.08
2025-11-14T09:15:50.747014Z,-59.84
2025-11-14T09:15:50.747024Z,-61.47
2025-11-14T09:15:50.747034Z,-62.76
2025-11-14T09:15:50.747044Z,-62.24
2025-11-14T09:15:50.747054Z,-63.36
2025-11-14T09:15:50.747064Z,-61.68
2025-11-14T09:15:50.747074Z,-63.24
2025-11-14T09:15:50.747084Z,-64.09
2025-11-14T09:15:50.747094Z,-61.75
2025-11-14T09:15:50.747104Z,-62.88
2025-11-14T09:15:50.747114Z,-63.08
2025-11-14T09:15:50.747124Z,-61.83
2025-11-14T09:15:50.747134Z,-63.77
2025-11-14T09:15:50.747144Z,-63.48
2025-11-14T09:15:50.747154Z,-63.66
2025-11-14T09:15:50.747164Z,-63.02
2025-11-14T09:15:50.747174Z,-64.01
2025-11-14T09:15:50.747184Z,-63.74
2025-11-14T09:15:50.747194Z,-64.60
2025-11-14T09:15:50.747204Z,-63.59
2025-11-14T09:15:50.747214Z,-63.51
2025-11-14T09:15:50.747224Z,-64.75
2025-11-14T09:15:50.747234Z,-62.90
2025-11-14T09:15:50.747244Z,-64.17
2025-11-14T09:15:50.747254Z,-64.08
2025-11-14T09:15:50.747264Z,-64.95
2025-11-14T09:15:50.747274Z,-64.10
2025-11-14T09:15:50.747284Z,-65.03
2025-11-14T09:15:50.747294Z,-64.81
2025-11-14T09:15:50.747304Z,-64.41
2025-11-14T09:15:50.747314Z,-64.64
2025-11-14T09:15:50.747324Z,-63.25
2025-11-14T09:15:50.747334Z,-64.53
2025-11-14T09:15:50.747344Z,-65.14
2025-11-14T09:15:50.747354Z,-64.88
2025-11-14T09:15:50.747364Z,-65.44
2025-11-14T09:15:50.747374Z,-64.88
2025-11-14T09:15:50.747384Z,-62.98
2025-11-14T09:15:50.747394Z,-63.86
2025-11-14T09:15:50.747404Z,-65.26
2025-11-14T09:15:50.747414Z,-64.95
