time,dB
2025-11-14T08:04:17.263284Z,-85.09
2025-11-14T08:04:17.263285Z,-84.97
2025-11-14T08:04:17.263286Z,-84.89
2025-11-14T08:04:17.263287Z,-85.34
2025-11-14T08:04:17.263288Z,-86.26
2025-11-14T08:04:17.263289Z,-84.23
2025-11-14T08:04:17.263290Z,-85.13
2025-11-14T08:04:17.263291Z,-84.99
2025-11-14T08:04:17.263292Z,-76.17
2025-11-14T08:04:17.263293Z,-84.58
2025-11-14T08:04:17.263294Z,-84.39
2025-11-14T08:04:17.263295Z,-85.51
2025-11-14T08:04:17.263296Z,-85.24
2025-11-14T08:04:17.263297Z,-85.30
2025-11-14T08:04:17.263298Z,-85.39
2025-11-14T08:04:17.263299Z,-85.09
2025-11-14T08:04:17.263300Z,-85.36
2025-11-14T08:04:17.263301Z,-84.43
2025-11-14T08:04:17.263302Z,-84.62
2025-11-14T08:04:17.263303Z,-84.30
2025-11-14T08:04:17.263304Z,-84.17
2025-11-14T08:04:17.263305Z,-85.34
2025-11-14T08:04:17.263306Z,-84.23
2025-11-14T08:04:17.263307Z,-85.59
2025-11-14T08:04:17.263308Z,-85.10
2025-11-14T08:04:17.263309Z,-85.13
2025-11-14T08:04:17.263310Z,-84.70
2025-11-14T08:04:17.263311Z,-86.41
2025-11-14T08:04:17.263312Z,-84.32
2025-11-14T08:04:17.263313Z,-83.65
2025-11-14T08:04:17.263314Z,-85.76
2025-11-14T08:04:17.263315Z,-84.48
2025-11-14T08:04:17.263316Z,-85.63
2025-11-14T08:04:17.263317Z,-84.77
2025-11-14T08:04:17.263318Z,-85.30
2025-11-14T08:04:17.263319Z,-84.65
2025-11-14T08:04:17.263320Z,-84.93
2025-11-14T08:04:17.263321Z,-84.93
2025-11-14T08:04:17.263322Z,-84.10
2025-11-14T08:04:17.263323Z,-84.34
2025-11-14T08:04:17.263324Z,-85.21
2025-11-14T08:04:17.263325Z,-85.79
2025-11-14T08:04:17.263326Z,-85.88
2025-11-14T08:04:17.263327Z,-85.35
2025-11-14T08:04:17.263328Z,-85.01
2025-11-14T08:04:17.263329Z,-85.60
2025-11-14T08:04:17.263330Z,-85.69
2025-11-14T08:04:17.263331Z,-85.36
2025-11-14T08:04:17.263332Z,-81.04
2025-11-14T08:04:17.263333Z,-83.67
2025-11-14T08:04:17.263334Z,-85.53
2025-11-14T08:04:17.263335Z,-85.40
2025-11-14T08:04:17.263336Z,-84.85
2025-11-14T08:04:17.263337Z,-83.95
2025-11-14T08:04:17.263338Z,-83.80
2025-11-14T08:04:17.263339Z,-84.20
2025-11-14T08:04:17.263340Z,-83.91
2025-11-14T08:04:17.263341Z,-85.21
2025-11-14T08:04:17.263342Z,-85.21
2025-11-14T08:04:17.263343Z,-84.95
2025-11-14T08:04:17.263344Z,-83.95
2025-11-14T08:04:17.263345Z,-85.13
2025-11-14T08:04:17.263346Z,-85.33
2025-11-14T08:04:17.263347Z,-86.31
2025-11-14T08:04:17.263348Z,-85.12
2025-11-14T08:04:17.263349Z,-84.38
2025-11-14T08:04:17.263350Z,-86.02
2025-11-14T08:04:17.263351Z,-85.29
2025-11-14T08:04:17.263352Z,-84.25
2025-11-14T08:04:17.263353Z,-84.32
2025-11-14T08:04:17.263354Z,-84.98
2025-11-14T08:04:17.263355Z,-83.48
2025-11-14T08:04:17.263356Z,-84.26
2025-11-14T08:04:17.263357Z,-84.96
2025-11-14T08:04:17.263358Z,-85.16
2025-11-14T08:04:17.263359Z,-86.60
2025-11-14T08:04:17.263360Z,-84.39
2025-11-14T08:04:17.263361Z,-85.39
2025-11-14T08:04:17.263362Z,-85.26
2025-11-14T08:04:17.263363Z,-84.94
2025-11-14T08:04:17.263364Z,-85.26
2025-11-14T08:04:17.263365Z,-84.99
2025-11-14T08:04:17.263366Z,-84.37
2025-11-14T08:04:17.263367Z,-85.25
2025-11-14T08:04:17.263368Z,-84.88
2025-11-14T08:04:17.263369Z,-85.77
2025-11-14T08:04:17.263370Z,-85.03
2025-11-14T08:04:17.263371Z,-85.91
2025-11-14T08:04:17.263372Z,-84.66
2025-11-14T08:04:17.263373Z,-83.91
2025-11-14T08:04:17.263374Z,-85.22
2025-11-14T08:04:17.263375Z,-86.55
2025-11-14T08:04:17.263376Z,-85.18
2025-11-14T08:04:17.263377Z,-84.03
2025-11-14T08:04:17.263378Z,-83.61
2025-11-14T08:04:17.263379Z,-83.30
2025-11-14T08:04:17.263380Z,-83.80
2025-11-14T08:04:17.263381Z,-86.19
2025-11-14T08:04:17.263382Z,-84.56
2025-11-14T08:04:17.263383Z,-84.96
2025-11-14T08:04:17.263384Z,-83.28
2025-11-14T08:04:17.263385Z,-85.22
2025-11-14T08:04:17.263386Z,-84.58
2025-11-14T08:04:17.263387Z,-85.99
2025-11-14T08:04:17.263388Z,-84.44
2025-11-14T08:04:17.263389Z,-83.86
2025-11-14T08:04:17.263390Z,-82.67
2025-11-14T08:04:17.263391Z,-83.82
2025-11-14T08:04:17.263392Z,-85.65
2025-11-14T08:04:17.263393Z,-83.84
2025-11-14T08:04:17.263394Z,-84.53
2025-11-14T08:04:17.263395Z,-85.52
2025-11-14T08:04:17.263396Z,-83.56
2025-11-14T08:04:17.263397Z,-84.16
2025-11-14T08:04:17.263398Z,-85.16
2025-11-14T08:04:17.263399Z,-84.60
2025-11-14T08:04:17.263400Z,-84.24
2025-11-14T08:04:17.263401Z,-84.69
2025-11-14T08:04:17.263402Z,-84.40
2025-11-14T08:04:17.263403Z,-85.14
2025-11-14T08:04:17.263404Z,-85.09
2025-11-14T08:04:17.263405Z,-84.43
2025-11-14T08:04:17.263406Z,-84.04
2025-11-14T08:04:17.263407Z,-84.75
2025-11-14T08:04:17.263408Z,-84.34
2025-11-14T08:04:17.263409Z,-83.80
2025-11-14T08:04:17.263410Z,-84.92
2025-11-14T08:04:17.263411Z,-85.12
2025-11-14T08:04:17.263412Z,-84.95
2025-11-14T08:04:17.263413Z,-84.46
2025-11-14T08:04:17.263414Z,-85.70
2025-11-14T08:04:17.263415Z,-83.05
2025-11-14T08:04:17.263416Z,-84.58
2025-11-14T08:04:17.263417Z,-84.85
2025-11-14T08:04:17.263418Z,-83.50
2025-11-14T08:04:17.263419Z,-85.21
