Frequency_Band,Center_Frequency_Hz,Power_Watts,Power_dBW
10-11 Hz,10.5,1500000100.00,91.76
11-12 Hz,11.5,1500000300.00,91.76
12-13 Hz,12.5,1500000500.00,91.76
13-14 Hz,13.5,1500000700.00,91.76
14-15 Hz,14.5,1500000900.00,91.76
15-16 Hz,15.5,1500001100.00,91.76
16-17 Hz,16.5,1500001300.00,91.76
17-18 Hz,17.5,1500001500.00,91.76
18-19 Hz,18.5,1500001700.00,91.76
19-20 Hz,19.5,1500001899.99,91.76
20-21 Hz,20.5,1500002099.99,91.76
21-22 Hz,21.5,1500002299.99,91.76
22-23 Hz,22.5,1500002499.99,91.76
23-24 Hz,23.5,1500002699.99,91.76
24-25 Hz,24.5,1500002899.98,91.76
25-26 Hz,25.5,1500003099.98,91.76
26-27 Hz,26.5,1500003299.98,91.76
27-28 Hz,27.5,1500003499.98,91.76
28-29 Hz,28.5,1500003699.97,91.76
29-30 Hz,29.5,1500003899.97,91.76
30-31 Hz,30.5,1500004099.97,91.76
31-32 Hz,31.5,1500004299.96,91.76
32-33 Hz,32.5,1500004499.96,91.76
33-34 Hz,33.5,1500004699.95,91.76
34-35 Hz,34.5,1500004899.95,91.76
35-36 Hz,35.5,1500005099.95,91.76
36-37 Hz,36.5,1500005299.94,91.76
37-38 Hz,37.5,1500005499.94,91.76
38-39 Hz,38.5,1500005699.93,91.76
39-40 Hz,39.5,1500005899.93,91.76
40-41 Hz,40.5,1500006099.92,91.76
41-42 Hz,41.5,1500006299.91,91.76
42-43 Hz,42.5,1500006499.91,91.76
43-44 Hz,43.5,1500006699.90,91.76
44-45 Hz,44.5,1500006899.90,91.76
45-46 Hz,45.5,1500007099.89,91.76
46-47 Hz,46.5,1500007299.88,91.76
47-48 Hz,47.5,1500007499.87,91.76
48-49 Hz,48.5,1500007699.87,91.76
49-50 Hz,49.5,1500007899.86,91.76
50-51 Hz,50.5,1500008099.85,91.76
51-52 Hz,51.5,1500008299.85,91.76
52-53 Hz,52.5,1500008499.84,91.76
53-54 Hz,53.5,1500008699.83,91.76
54-55 Hz,54.5,1500008899.82,91.76
55-56 Hz,55.5,1500009099.81,91.76
56-57 Hz,56.5,1500009299.80,91.76
57-58 Hz,57.5,1500009499.79,91.76
58-59 Hz,58.5,1500009699.79,91.76
59-60 Hz,59.5,1500009899.78,91.76
60-61 Hz,60.5,1500010099.77,91.76
61-62 Hz,61.5,1500010299.76,91.76
62-63 Hz,62.5,1500010499.75,91.76
63-64 Hz,63.5,1500010699.74,91.76
64-65 Hz,64.5,1500010899.73,91.76
65-66 Hz,65.5,1500011099.72,91.76
66-67 Hz,66.5,1500011299.70,91.76
67-68 Hz,67.5,1500011499.69,91.76
68-69 Hz,68.5,1500011699.68,91.76
69-70 Hz,69.5,1500011899.67,91.76
70-71 Hz,70.5,1500012099.66,91.76
71-72 Hz,71.5,1500012299.65,91.76
72-73 Hz,72.5,1500012499.64,91.76
73-74 Hz,73.5,1500012699.62,91.76
74-75 Hz,74.5,1500012899.61,91.76
75-76 Hz,75.5,1500013099.60,91.76
76-77 Hz,76.5,1500013299.59,91.76
77-78 Hz,77.5,1500013499.57,91.76
78-79 Hz,78.5,1500013699.56,91.76
79-80 Hz,79.5,1500013899.55,91.76
80-81 Hz,80.5,1500014099.53,91.76
81-82 Hz,81.5,1500014299.52,91.76
82-83 Hz,82.5,1500014499.51,91.76
83-84 Hz,83.5,1500014699.49,91.76
84-85 Hz,84.5,1500014899.48,91.76
85-86 Hz,85.5,1500015099.46,91.76
86-87 Hz,86.5,1500015299.45,91.76
87-88 Hz,87.5,1500015499.43,91.76
88-89 Hz,88.5,1500015699.42,91.76
89-90 Hz,89.5,1500015899.40,91.76
90-91 Hz,90.5,1500016099.39,91.76
91-92 Hz,91.5,1500016299.37,91.76
92-93 Hz,92.5,1500016499.36,91.76
93-94 Hz,93.5,1500016699.34,91.76
94-95 Hz,94.5,1500016899.32,91.76
95-96 Hz,95.5,1500017099.31,91.76
96-97 Hz,96.5,1500017299.29,91.76
97-98 Hz,97.5,1500017499.27,91.76
98-99 Hz,98.5,1500017699.26,91.76
99-100 Hz,99.5,1500017899.24,91.76
100-101 Hz,100.5,1500018099.22,91.76
101-102 Hz,101.5,1500018299.20,91.76
102-103 Hz,102.5,1500018499.18,91.76
103-104 Hz,103.5,1500018699.17,91.76
104-105 Hz,104.5,1500018899.15,91.76
105-106 Hz,105.5,1500019099.13,91.76
106-107 Hz,106.5,1500019299.11,91.76
107-108 Hz,107.5,1500019499.09,91.76
108-109 Hz,108.5,1500019699.07,91.76
109-110 Hz,109.5,1500019899.05,91.76
110-111 Hz,110.5,1500020099.03,91.76
111-112 Hz,111.5,1500020299.01,91.76
112-113 Hz,112.5,1500020498.99,91.76
113-114 Hz,113.5,1500020698.97,91.76
114-115 Hz,114.5,1500020898.95,91.76
115-116 Hz,115.5,1500021098.93,91.76
116-117 Hz,116.5,1500021298.91,91.76
117-118 Hz,117.5,1500021498.89,91.76
118-119 Hz,118.5,1500021698.87,91.76
119-120 Hz,119.5,1500021898.85,91.76
120-121 Hz,120.5,1500022098.83,91.76
121-122 Hz,121.5,1500022298.81,91.76
122-123 Hz,122.5,1500022498.78,91.76
123-124 Hz,123.5,1500022698.76,91.76
124-125 Hz,124.5,1500022898.74,91.76
125-126 Hz,125.5,1500023098.72,91.76
126-127 Hz,126.5,1500023298.69,91.76
127-128 Hz,127.5,1500023498.67,91.76
128-129 Hz,128.5,1500023698.65,91.76
129-130 Hz,129.5,1500023898.63,91.76
130-131 Hz,130.5,1500024098.60,91.76
131-132 Hz,131.5,1500024298.58,91.76
132-133 Hz,132.5,1500024498.55,91.76
133-134 Hz,133.5,1500024698.53,91.76
134-135 Hz,134.5,1500024898.51,91.76
135-136 Hz,135.5,1500025098.48,91.76
136-137 Hz,136.5,1500025298.46,91.76
137-138 Hz,137.5,1500025498.43,91.76
138-139 Hz,138.5,1500025698.41,91.76
139-140 Hz,139.5,1500025898.38,91.76
140-141 Hz,140.5,1500026098.36,91.76
141-142 Hz,141.5,1500026298.33,91.76
142-143 Hz,142.5,1500026498.30,91.76
143-144 Hz,143.5,1500026698.28,91.76
144-145 Hz,144.5,1500026898.25,91.76
145-146 Hz,145.5,1500027098.23,91.76
146-147 Hz,146.5,1500027298.20,91.76
147-148 Hz,147.5,1500027498.17,91.76
148-149 Hz,148.5,1500027698.14,91.76
149-150 Hz,149.5,1500027898.12,91.76
150-151 Hz,150.5,1500028098.09,91.76
151-152 Hz,151.5,1500028298.06,91.76
152-153 Hz,152.5,1500028498.03,91.76
153-154 Hz,153.5,1500028698.01,91.76
154-155 Hz,154.5,1500028897.98,91.76
155-156 Hz,155.5,1500029097.95,91.76
156-157 Hz,156.5,1500029297.92,91.76
157-158 Hz,157.5,1500029497.89,91.76
158-159 Hz,158.5,1500029697.86,91.76
159-160 Hz,159.5,1500029897.83,91.76
160-161 Hz,160.5,1500030097.80,91.76
161-162 Hz,161.5,1500030297.77,91.76
162-163 Hz,162.5,1500030497.74,91.76
163-164 Hz,163.5,1500030697.71,91.76
164-165 Hz,164.5,1500030897.68,91.76
165-166 Hz,165.5,1500031097.65,91.76
166-167 Hz,166.5,1500031297.62,91.76
167-168 Hz,167.5,1500031497.59,91.76
168-169 Hz,168.5,1500031697.56,91.76
169-170 Hz,169.5,1500031897.53,91.76
170-171 Hz,170.5,1500032097.50,91.76
171-172 Hz,171.5,1500032297.47,91.76
172-173 Hz,172.5,1500032497.43,91.76
173-174 Hz,173.5,1500032697.40,91.76
174-175 Hz,174.5,1500032897.37,91.76
175-176 Hz,175.5,1500033097.34,91.76
176-177 Hz,176.5,1500033297.31,91.76
177-178 Hz,177.5,1500033497.27,91.76
178-179 Hz,178.5,1500033697.24,91.76
179-180 Hz,179.5,1500033897.21,91.76
180-181 Hz,180.5,1500034097.17,91.76
181-182 Hz,181.5,1500034297.14,91.76
182-183 Hz,182.5,1500034497.11,91.76
183-184 Hz,183.5,1500034697.07,91.76
184-185 Hz,184.5,1500034897.04,91.76
185-186 Hz,185.5,1500035097.00,91.76
186-187 Hz,186.5,1500035296.97,91.76
187-188 Hz,187.5,1500035496.93,91.76
188-189 Hz,188.5,1500035696.90,91.76
189-190 Hz,189.5,1500035896.86,91.76
190-191 Hz,190.5,1500036096.83,91.76
191-192 Hz,191.5,1500036296.79,91.76
192-193 Hz,192.5,1500036496.76,91.76
193-194 Hz,193.5,1500036696.72,91.76
194-195 Hz,194.5,1500036896.68,91.76
195-196 Hz,195.5,1500037096.65,91.76
196-197 Hz,196.5,1500037296.61,91.76
197-198 Hz,197.5,1500037496.57,91.76
198-199 Hz,198.5,1500037696.54,91.76
199-200 Hz,199.5,1500037896.50,91.76
200-201 Hz,200.5,1500038096.46,91.76
201-202 Hz,201.5,1500038296.42,91.76
202-203 Hz,202.5,1500038496.39,91.76
203-204 Hz,203.5,1500038696.35,91.76
204-205 Hz,204.5,1500038896.31,91.76
205-206 Hz,205.5,1500039096.27,91.76
206-207 Hz,206.5,1500039296.23,91.76
207-208 Hz,207.5,1500039496.19,91.76
208-209 Hz,208.5,1500039696.15,91.76
209-210 Hz,209.5,1500039896.12,91.76
210-211 Hz,210.5,1500040096.08,91.76
211-212 Hz,211.5,1500040296.04,91.76
212-213 Hz,212.5,1500040496.00,91.76
213-214 Hz,213.5,1500040695.96,91.76
214-215 Hz,214.5,1500040895.92,91.76
215-216 Hz,215.5,1500041095.88,91.76
216-217 Hz,216.5,1500041295.84,91.76
217-218 Hz,217.5,1500041495.79,91.76
218-219 Hz,218.5,1500041695.75,91.76
219-220 Hz,219.5,1500041895.71,91.76
220-221 Hz,220.5,1500042095.67,91.76
221-222 Hz,221.5,1500042295.63,91.76
222-223 Hz,222.5,1500042495.59,91.76
223-224 Hz,223.5,1500042695.55,91.76
224-225 Hz,224.5,1500042895.50,91.76
225-226 Hz,225.5,1500043095.46,91.76
226-227 Hz,226.5,1500043295.42,91.76
227-228 Hz,227.5,1500043495.38,91.76
228-229 Hz,228.5,1500043695.33,91.76
229-230 Hz,229.5,1500043895.29,91.76
230-231 Hz,230.5,1500044095.25,91.76
231-232 Hz,231.5,1500044295.20,91.76
232-233 Hz,232.5,1500044495.16,91.76
233-234 Hz,233.5,1500044695.11,91.76
234-235 Hz,234.5,1500044895.07,91.76
235-236 Hz,235.5,1500045095.03,91.76
236-237 Hz,236.5,1500045294.98,91.76
237-238 Hz,237.5,1500045494.94,91.76
238-239 Hz,238.5,1500045694.89,91.76
239-240 Hz,239.5,1500045894.85,91.76
240-241 Hz,240.5,1500046094.80,91.76
241-242 Hz,241.5,1500046294.75,91.76
