Frequency_Band,Center_Frequency_Hz,Power_Watts,Power_dBW
10-20 Hz,15,10632613.71,70.27
20-30 Hz,25,11095719.08,70.45
30-40 Hz,35,11414567.25,70.57
40-50 Hz,45,11673738.54,70.67
50-60 Hz,55,11897841.12,70.75
60-70 Hz,65,12098142.30,70.83
70-80 Hz,75,12280921.15,70.89
80-90 Hz,85,12450102.34,70.95
90-100 Hz,95,12608333.13,71.01
100-110 Hz,105,12757499.21,71.06
110-120 Hz,115,12899000.19,71.11
120-130 Hz,125,13033908.75,71.15
130-140 Hz,135,13163068.53,71.19
140-150 Hz,145,13287157.24,71.23
150-160 Hz,155,13406729.06,71.27
160-170 Hz,165,13522244.04,71.31
170-180 Hz,175,13634089.06,71.35
180-190 Hz,185,13742593.15,71.38
190-200 Hz,195,13848038.94,71.41
200-210 Hz,205,13950671.32,71.45
210-220 Hz,215,14050704.15,71.48
220-230 Hz,225,14148325.48,71.51
230-240 Hz,235,14243701.75,71.54
240-250 Hz,245,14336981.06,71.56
250-260 Hz,255,14428295.94,71.59
260-270 Hz,265,14517765.50,71.62
270-280 Hz,275,14605497.29,71.65
280-290 Hz,285,14691588.80,71.67
290-300 Hz,295,14776128.74,71.70
300-310 Hz,305,14859198.07,71.72
310-320 Hz,315,14940870.99,71.74
320-330 Hz,325,15021215.62,71.77
330-340 Hz,335,15100294.75,71.79
340-350 Hz,345,15178166.35,71.81
350-360 Hz,355,15254884.10,71.83
360-370 Hz,365,15330497.83,71.86
370-380 Hz,375,15405053.87,71.88
380-390 Hz,385,15478595.40,71.90
390-400 Hz,395,15551162.73,71.92
400-410 Hz,405,15622793.60,71.94
410-420 Hz,415,15693523.35,71.96
420-430 Hz,425,15763385.14,71.98
430-440 Hz,435,15832410.18,72.00
440-450 Hz,445,15900627.82,72.01
450-460 Hz,455,15968065.76,72.03
460-470 Hz,465,16034750.13,72.05
470-480 Hz,475,16100705.64,72.07
480-490 Hz,485,16165955.68,72.09
490-500 Hz,495,16230522.43,72.10
500-510 Hz,505,16294426.89,72.12
510-520 Hz,515,16357689.05,72.14
520-530 Hz,525,16420327.90,72.15
530-540 Hz,535,16482361.49,72.17
540-550 Hz,545,16543807.05,72.19
550-560 Hz,555,16604680.98,72.20
560-570 Hz,565,16664998.96,72.22
570-580 Hz,575,16724775.93,72.23
580-590 Hz,585,16784026.20,72.25
590-600 Hz,595,16842763.46,72.26
600-610 Hz,605,16901000.79,72.28
610-620 Hz,615,16958750.76,72.29
620-630 Hz,625,17016025.39,72.31
630-640 Hz,635,17072836.24,72.32
640-650 Hz,645,17129194.39,72.34
650-660 Hz,655,17185110.50,72.35
660-670 Hz,665,17240594.80,72.37
670-680 Hz,675,17295657.15,72.38
680-690 Hz,685,17350307.03,72.39
690-700 Hz,695,17404553.58,72.41
700-710 Hz,705,17458405.59,72.42
710-720 Hz,715,17511871.54,72.43
720-730 Hz,725,17564959.64,72.45
730-740 Hz,735,17617677.76,72.46
740-750 Hz,745,17670033.55,72.47
750-760 Hz,755,17722034.38,72.49
760-770 Hz,765,17773687.36,72.50
770-780 Hz,775,17824999.38,72.51
780-790 Hz,785,17875977.11,72.52
790-800 Hz,795,17926627.01,72.53
800-810 Hz,805,17976955.30,72.55
810-820 Hz,815,18026968.05,72.56
820-830 Hz,825,18076671.12,72.57
830-840 Hz,835,18126070.18,72.58
840-850 Hz,845,18175170.74,72.59
850-860 Hz,855,18223978.17,72.61
860-870 Hz,865,18272497.63,72.62
870-880 Hz,875,18320734.18,72.63
880-890 Hz,885,18368692.70,72.64
890-900 Hz,895,18416377.94,72.65
900-910 Hz,905,18463794.53,72.66
910-920 Hz,915,18510946.96,72.67
920-930 Hz,925,18557839.58,72.69
930-940 Hz,935,18604476.66,72.70
940-950 Hz,945,18650862.31,72.71
950-960 Hz,955,18697000.57,72.72
960-970 Hz,965,18742895.35,72.73
970-980 Hz,975,18788550.47,72.74
980-990 Hz,985,18833969.63,72.75
990-1000 Hz,995,18879156.48,72.76
1.0-1.1 kHz,1050,19123684.61,72.82
1.1-1.2 kHz,1150,19552257.47,72.91
1.2-1.3 kHz,1250,19962410.59,73.00
1.3-1.4 kHz,1350,20356332.69,73.09
1.4-1.5 kHz,1450,20735810.58,73.17
1.5-1.6 kHz,1550,21102325.47,73.24
1.6-1.7 kHz,1650,21457121.49,73.32
1.7-1.8 kHz,1750,21801255.65,73.38
1.8-1.9 kHz,1850,22135635.00,73.45
1.9-2.0 kHz,1950,22461044.85,73.51
2.0-2.1 kHz,2050,22778170.48,73.58
2.1-2.2 kHz,2150,23087614.10,73.63
2.2-2.3 kHz,2250,23389908.32,73.69
2.3-2.4 kHz,2350,23685526.91,73.74
2.4-2.5 kHz,2450,23974893.52,73.80
2.5-2.6 kHz,2550,24258388.79,73.85
2.6-2.7 kHz,2650,24536356.24,73.90
2.7-2.8 kHz,2750,24809107.16,73.95
2.8-2.9 kHz,2850,25076924.65,73.99
2.9-3.0 kHz,2950,25340067.11,74.04
3.0-3.1 kHz,3050,25598771.13,74.08
3.1-3.2 kHz,3150,25853254.01,74.13
3.2-3.3 kHz,3250,26103715.87,74.17
3.3-3.4 kHz,3350,26350341.49,74.21
3.4-3.5 kHz,3450,26593301.93,74.25
3.5-3.6 kHz,3550,26832755.89,74.29
3.6-3.7 kHz,3650,27068850.95,74.32
3.7-3.8 kHz,3750,27301724.62,74.36
3.8-3.9 kHz,3850,27531505.26,74.40
3.9-4.0 kHz,3950,27758312.95,74.43
4.0-4.1 kHz,4050,27982260.17,74.47
