frequency_hz,power_watts
5.000000000,1000000.000000
5.025977812,1013031.276796
5.052090593,1026232.367766
5.078339045,1039605.485807
5.104723872,1053152.872651
5.131245783,1066876.799242
5.157905490,1080779.566120
5.184703710,1094863.503801
5.211641161,1109130.973172
5.238718568,1123584.365886
5.265936657,1138226.104761
5.293296159,1153058.644188
5.320797809,1168084.470542
5.348442346,1183306.102598
5.376230512,1198726.091955
5.404163053,1214347.023461
5.432240719,1230171.515650
5.460464264,1246202.221176
5.488834447,1262441.827264
5.517352028,1278893.056153
5.546017775,1295558.665560
5.574832456,1312441.449135
5.603796846,1329544.236937
5.632911722,1346869.895900
5.662177866,1364421.330321
5.691596064,1382201.482343
5.721167106,1400213.332446
5.750891787,1418459.899954
5.780770903,1436944.243534
5.810805259,1455669.461711
5.840995660,1474638.693389
5.871342917,1493855.118376
5.901847845,1513321.957916
5.932511264,1533042.475231
5.963333996,1553019.976065
5.994316870,1573257.809242
6.025460717,1593759.367225
6.056766374,1614528.086685
6.088234681,1635567.449076
6.119866484,1656880.981223
6.151662632,1678472.255906
6.183623979,1700344.892467
6.215751383,1722502.557408
6.248045706,1744948.965015
6.280507818,1767687.877972
6.313138587,1790723.107998
6.345938893,1814058.516483
6.378909614,1837698.015134
6.412051637,1861645.566636
6.445365851,1885905.185310
6.478853151,1910480.937790
6.512514436,1935376.943703
6.546350611,1960597.376360
6.580362584,1986146.463456
6.614551268,2012028.487778
6.648917582,2038247.787922
6.683462447,2064808.759025
6.718186793,2091715.853493
6.753091552,2118973.581758
6.788177660,2146586.513024
6.823446060,2174559.276041
6.858897700,2202896.559875
6.894533530,2231603.114699
6.930354509,2260683.752584
6.966361598,2290143.348312
7.002555764,2319986.840185
7.038937979,2350219.230861
7.075509221,2380845.588189
7.112270470,2411871.046056
7.149222715,2443300.805252
7.186366947,2475140.134340
7.223704165,2507394.370539
7.261235370,2540068.920617
7.298961571,2573169.261801
7.336883781,2606700.942693
7.375003018,2640669.584201
7.413320306,2675080.880478
7.451836674,2709940.599882
7.490553156,2745254.585938
7.529470792,2781028.758322
7.568590627,2817269.113848
7.607913712,2853981.727478
7.647441102,2891172.753338
7.687173859,2928848.425751
7.727113050,2967015.060279
7.767259748,3005679.054786
7.807615030,3044846.890507
7.848179981,3084525.133137
7.888955689,3124720.433930
7.929943250,3165439.530813
7.971143765,3206689.249519
8.012558339,3248476.504726
8.054188086,3290808.301223
8.096034122,3333691.735078
8.138097572,3377133.994828
8.180379566,3421142.362691
8.222881238,3465724.215776
8.265603730,3510887.027328
8.308548190,3556638.367979
8.351715770,3602985.907014
8.395107630,3649937.413659
8.438724935,3697500.758383
8.482568857,3745683.914217
8.526640572,3794494.958092
8.570941265,3843942.072190
8.615472125,3894033.545318
8.660234347,3944777.774299
8.705229135,3996183.265372
8.750457695,4048258.635629
8.795921244,4101012.614450
8.841621001,4154454.044971
8.887558195,4208591.885565
8.933734057,4263435.211345
8.980149830,4318993.215684
9.026806758,4375275.211756
9.073706095,4432290.634097
9.120849101,4490049.040188
9.168237041,4548560.112056
9.215871189,4607833.657897
9.263752822,4667879.613721
9.311883227,4728708.045016
9.360263697,4790329.148436
9.408895531,4852753.253511
9.457780034,4915990.824378
9.506918520,4980052.461534
9.556312308,5044948.903617
9.605962725,5110691.029199
9.655871103,5177289.858617
9.706038783,5244756.555816
9.756467113,5313102.430220
9.807157446,5382338.938631
9.858111144,5452477.687147
9.909329576,5523530.433110
9.960814115,5595509.087073
10.012566146,5668425.714798
10.064587058,5742292.539283
10.116878247,5817121.942803
10.169441119,5892926.468993
10.222277085,5969718.824946
10.275387563,6047511.883345
10.328773979,6126318.684622
10.382437769,6206152.439139
10.436380371,6287026.529408
10.490603236,6368954.512334
10.545107820,6451950.121482
10.599895585,6536027.269386
10.654968003,6621200.049877
10.710326554,6707482.740445
10.765972723,6794889.804637
10.821908006,6883435.894477
10.878133904,6973135.852922
10.934651927,7064004.716354
10.991463593,7156057.717098
11.048570427,7249310.285974
11.105973964,7343778.054887
11.163675744,7439476.859446
11.221677317,7536422.741615
11.279980242,7634631.952409
